,latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan,Prediksi,prediksi_normal
988,-6.975009,107.820509,1927.94,0.625,0.7142857142857142,0.0,Aluvial,Sawah,0.9998223,1
989,-6.986464,107.827912,1925.7,1.0,0.7142857142857142,0.0,Aluvial,Permukiman,0.9999042,1
990,-6.990763999,107.838375,1929.27,0.75,0.5714285714285714,0.0,Latosol,Sawah Tadah Hujan,0.9996638,1
991,-6.994201,107.850802,1938.93,1.0,0.5714285714285714,0.0,Latosol,Permukiman,0.99967897,1
992,-6.998677814,107.9073324,1993.28,0.0,0.2857142857142857,0.0,Andosol,Perkebunan/Kebun,0.9842547,0
993,-7.000596,107.894477,1983.01,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
994,-7.004826118,107.888965,1979.32,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
995,-7.023385914,107.8900358,1995.14,0.5,0.5714285714285714,0.0,Latosol,Tegalan/Ladang,0.9994784,1
996,-7.034807326,107.9007434,2009.28,0.5,0.5714285714285714,0.3333333333333333,Latosol,Tegalan/Ladang,0.9997501,1
997,-7.03730576,107.9050264,2014.36,0.5,0.5714285714285714,0.3333333333333333,Latosol,Tegalan/Ladang,0.9997501,1
998,-7.043373386,107.8721898,2006.48,0.5,0.2857142857142857,0.3333333333333333,Andosol,Tegalan/Ladang,0.9987381,0
999,-7.028861,107.883928,1994.73,0.5,0.5714285714285714,0.0,Latosol,Tegalan/Ladang,0.9994784,1
1000,-7.0000715,107.8636429,1953.56,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
1001,-6.990906271,107.8693345,1955.23,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
1002,-7.007345,107.856458,1953.76,0.75,0.5714285714285714,0.0,Latosol,Sawah Tadah Hujan,0.9996638,1
1003,-6.990423,107.861429,1946.26,0.5,0.5714285714285714,0.0,Latosol,Tegalan/Ladang,0.9994784,1
1004,-6.996260058,107.8689776,1957.06,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
1005,-7.015479,107.88778,1987.3,0.75,0.5714285714285714,0.0,Latosol,Sawah Tadah Hujan,0.9996638,1
1006,-7.045157982,107.9035987,2018.71,0.5,0.5714285714285714,0.3333333333333333,Latosol,Tegalan/Ladang,0.9997501,1
1007,-7.049817,107.911276,2025.4,0.0,0.5714285714285714,0.3333333333333333,Latosol,Perkebunan/Kebun,0.999,1
1008,-7.046242,107.913448,2024.47,0.0,0.5714285714285714,0.3333333333333333,Latosol,Perkebunan/Kebun,0.999,1
1009,-7.045157982,107.8953896,2015.22,0.5,0.5714285714285714,0.3333333333333333,Latosol,Tegalan/Ladang,0.9997501,1
1010,-7.025701,107.875738,1987.72,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
1011,-7.017506,107.871521,1976.55,1.0,0.5714285714285714,0.0,Latosol,Permukiman,0.99967897,1
1012,-7.000543088,107.8729037,1961.36,0.5,0.5714285714285714,0.0,Latosol,Tegalan/Ladang,0.9994784,1
1013,-6.980922,107.876748,1959.31,0.125,0.2857142857142857,0.0,Andosol,Hutan,0.99243593,0
1014,-6.98269713,107.8575562,1940.84,0.0,0.5714285714285714,0.0,Latosol,Perkebunan/Kebun,0.99795127,0
1015,-7.001399,107.840955,1938.82,0.75,0.5714285714285714,0.0,Latosol,Sawah Tadah Hujan,0.9996638,1
1016,-6.997973001,107.835748,1932.98,0.75,0.5714285714285714,0.0,Latosol,Sawah Tadah Hujan,0.9996638,1
1017,-7.033127,107.854057,1985.42,0.5,0.2857142857142857,0.0,Andosol,Tegalan/Ladang,0.9951875,0
1018,-7.047656416,107.8265042,2019.89,0.5,0.2857142857142857,0.3333333333333333,Andosol,Tegalan/Ladang,0.9987381,0
1019,-6.84026,107.7034,2134.19,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
1020,-6.842104,107.680401,2138.27,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
1021,-6.832020767,107.7296532,2125.14,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
1022,-6.837017635,107.7292963,2125.5,0.0,0.2857142857142857,0.3333333333333333,Andosol,Perkebunan/Kebun,0.9905036,0
