latitude,longitude,curah_hujan,Penggunaan_Lahan,Jenis_Tanah,Kategori_Curah_Hujan,Ket_Jenis_Tanah,Ket_Penggunaan_Lahan
-6.949890159,107.550096,2214.21,0.0,0.7142857142857142,0.33333333333333337,Aluvial,Perkebunan/Kebun
-6.955264949,107.5418394,2222.39,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.968544,107.527654,2239.98,0.25,0.5714285714285714,0.33333333333333337,Latosol,Badan Air
-6.975728314,107.5316077,2240.46,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-6.96815,107.550505,2223.99,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.966686362,107.5668237,2217.17,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-6.99010588,107.565188,2225.56,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-7.002348,107.552746,2236.02,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-7.013354763,107.5488548,2242.92,0.625,1.0,0.33333333333333337,Clay,Sawah
-7.016921,107.525711,2267.14,0.25,1.0,0.33333333333333337,Clay,Badan Air
-7.009299001,107.524589,2266.15,1.0,1.0,0.33333333333333337,Clay,Permukiman
-6.998095247,107.5192345,2264.24,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-6.980978,107.517182,2255.97,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-6.981374,107.514834,2257.35,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-6.985959996,107.5042439,2265.94,0.5,0.5714285714285714,0.33333333333333337,Latosol,Tegalan/Ladang
-6.982628751,107.494964,2270.07,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.037951001,107.546886,2246.0,0.625,1.0,0.33333333333333337,Clay,Sawah
-7.029938,107.557941,2232.8,0.625,1.0,0.33333333333333337,Clay,Sawah
-7.011182283,107.5677755,2227.45,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.995621,107.578551,2223.88,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-7.019432,107.5734037,2223.67,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.023713,107.573191,2222.82,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.972085,107.609955,2226.72,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-6.975317,107.600869,2225.97,0.0,0.7142857142857142,0.33333333333333337,Aluvial,Perkebunan/Kebun
-6.965020739,107.6046572,2220.12,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.970485,107.579414,2216.68,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-6.979049,107.589199,2222.82,0.25,0.7142857142857142,0.33333333333333337,Aluvial,Badan Air
-6.991432757,107.5977567,2228.91,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.0125968,107.6091602,2229.85,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.023037999,107.600329,2221.43,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.038951,107.58596,2211.51,0.625,0.7142857142857142,0.33333333333333337,Aluvial,Sawah
-7.048476,107.595195,2200.18,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.020224235,107.6284518,2225.55,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-6.998367999,107.621296,2239.11,1.0,0.7142857142857142,0.33333333333333337,Aluvial,Permukiman
-7.016803,107.619964,2229.62,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.027325728,107.6209403,2218.75,0.125,0.5714285714285714,0.33333333333333337,Latosol,Hutan
-7.035928677,107.6182201,2210.49,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.0433789,107.6075554,2202.5,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.071263673,107.5932357,2171.77,0.0,0.5714285714285714,0.33333333333333337,Latosol,Perkebunan/Kebun
-7.069322,107.560113,2201.09,0.625,0.5714285714285714,0.33333333333333337,Latosol,Sawah
-7.053901,107.559791,2218.31,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
-7.045327548,107.5582577,2226.84,1.0,1.0,0.33333333333333337,Clay,Permukiman
-7.061871,107.538644,2242.24,0.75,0.5714285714285714,0.33333333333333337,Latosol,Sawah Tadah Hujan
-7.064446518,107.6319763,2169.9,1.0,0.5714285714285714,0.33333333333333337,Latosol,Permukiman
